# dataset: territories
# source: cldr
# authority: Unicode Consortium
# origin: common/validity/region.xml, common/supplemental/supplementalData.xml codeMappings
# pin: release-48-2
# published: 2026-03-17
# licence: Unicode-3.0
# licence-url: https://www.unicode.org/license.txt
# licence-note: Unicode License v3 grants distribution of the Data Files
# licence-verified: 2026-07-26
# cadence: two major releases per year, plus point releases
# compiled-in: true
# columns: alpha2,alpha3,numeric,status
SC	SYC	690	assigned
SD	SDN	729	assigned
SE	SWE	752	assigned
SG	SGP	702	assigned
SH	SHN	654	assigned
SI	SVN	705	assigned
SJ	SJM	744	assigned
SK	SVK	703	assigned
SL	SLE	694	assigned
SM	SMR	674	assigned
SN	SEN	686	assigned
SO	SOM	706	assigned
SR	SUR	740	assigned
SS	SSD	728	assigned
ST	STP	678	assigned
SV	SLV	222	assigned
SX	SXM	534	assigned
SY	SYR	760	assigned
SZ	SWZ	748	assigned
TA	TAA		reserved
TC	TCA	796	assigned
TD	TCD	148	assigned
TF	ATF	260	assigned
TG	TGO	768	assigned
TH	THA	764	assigned
TJ	TJK	762	assigned
TK	TKL	772	assigned
TL	TLS	626	assigned
TM	TKM	795	assigned
TN	TUN	788	assigned
TO	TON	776	assigned
TR	TUR	792	assigned
TT	TTO	780	assigned
TV	TUV	798	assigned
TW	TWN	158	assigned
TZ	TZA	834	assigned
UA	UKR	804	assigned
UG	UGA	800	assigned
UM	UMI	581	assigned
US	USA	840	assigned
UY	URY	858	assigned
UZ	UZB	860	assigned
VA	VAT	336	assigned
VC	VCT	670	assigned
VE	VEN	862	assigned
VG	VGB	092	assigned
VI	VIR	850	assigned
VN	VNM	704	assigned
VU	VUT	548	assigned
WF	WLF	876	assigned
WS	WSM	882	assigned
XK			private
YE	YEM	887	assigned
YT	MYT	175	assigned
ZA	ZAF	710	assigned
ZM	ZMB	894	assigned
ZW	ZWE	716	assigned
