# dataset: plural-rules
# source: cldr
# authority: Unicode Consortium
# origin: common/supplemental/plurals.xml and ordinals.xml, rule conditions without their samples
# pin: release-48-2
# published: 2026-03-17
# licence: Unicode-3.0
# licence-url: https://www.unicode.org/license.txt
# licence-note: Unicode License v3 grants distribution of the Data Files
# licence-verified: 2026-07-26
# cadence: two major releases per year, plus point releases
# compiled-in: true
# columns: language,kind,category,rule
en	cardinal	one	i = 1 and v = 0
en	cardinal	other	
en	ordinal	few	n % 10 = 3 and n % 100 != 13
en	ordinal	one	n % 10 = 1 and n % 100 != 11
en	ordinal	other	
en	ordinal	two	n % 10 = 2 and n % 100 != 12
eo	cardinal	one	n = 1
eo	cardinal	other	
es	cardinal	many	e = 0 and i != 0 and i % 1000000 = 0 and v = 0 or e != 0..5
es	cardinal	one	n = 1
es	cardinal	other	
es	ordinal	other	
et	cardinal	one	i = 1 and v = 0
et	cardinal	other	
et	ordinal	other	
eu	cardinal	one	n = 1
eu	cardinal	other	
eu	ordinal	other	
fa	cardinal	one	i = 0 or n = 1
fa	cardinal	other	
fa	ordinal	other	
ff	cardinal	one	i = 0,1
ff	cardinal	other	
fi	cardinal	one	i = 1 and v = 0
fi	cardinal	other	
fi	ordinal	other	
fil	cardinal	one	v = 0 and i = 1,2,3 or v = 0 and i % 10 != 4,6,9 or v != 0 and f % 10 != 4,6,9
fil	cardinal	other	
fil	ordinal	one	n = 1
fil	ordinal	other	
fo	cardinal	one	n = 1
fo	cardinal	other	
fr	cardinal	many	e = 0 and i != 0 and i % 1000000 = 0 and v = 0 or e != 0..5
fr	cardinal	one	i = 0,1
fr	cardinal	other	
fr	ordinal	one	n = 1
fr	ordinal	other	
fur	cardinal	one	n = 1
fur	cardinal	other	
fy	cardinal	one	i = 1 and v = 0
fy	cardinal	other	
fy	ordinal	other	
ga	cardinal	few	n = 3..6
ga	cardinal	many	n = 7..10
ga	cardinal	one	n = 1
ga	cardinal	other	
ga	cardinal	two	n = 2
ga	ordinal	one	n = 1
ga	ordinal	other	
gd	cardinal	few	n = 3..10,13..19
gd	cardinal	one	n = 1,11
gd	cardinal	other	
gd	cardinal	two	n = 2,12
gd	ordinal	few	n = 3,13
gd	ordinal	one	n = 1,11
gd	ordinal	other	
gd	ordinal	two	n = 2,12
gl	cardinal	one	i = 1 and v = 0
gl	cardinal	other	
gl	ordinal	other	
gsw	cardinal	one	n = 1
gsw	cardinal	other	
gsw	ordinal	other	
gu	cardinal	one	i = 0 or n = 1
gu	cardinal	other	
gu	ordinal	few	n = 4
gu	ordinal	many	n = 6
gu	ordinal	one	n = 1
