# dataset: address-rules
# source: google-address-data-service
# authority: Google, the Address Data Service the libaddressinput project names
# origin: ssl-address/data/<territory>, the live service record for every territory it lists
# pin: 2026-08-10
# published: 2026-08-10
# licence: CC-BY-4.0
# licence-url: https://creativecommons.org/licenses/by/4.0/
# licence-note: the libaddressinput repository states verbatim that its data is licensed under the CC-BY 4.0
# licence-verified: 2026-08-10
# cadence: ad hoc
# compiled-in: true
# columns: territory,format,required,postcode
GG	%N%n%O%n%A%n%C%nGUERNSEY%n%Z	ACZ	GY\d[\dA-Z]? ?\d[ABD-HJLN-UW-Z]{2}
GH			
GI	%N%n%O%n%A%nGIBRALTAR%n%Z	A	GX11 1AA
GL	%N%n%O%n%A%n%Z %C	ACZ	39\d{2}
GM			
GN	%N%n%O%n%Z %A %C		\d{3}
GP	%O%n%N%n%A%n%Z %C %X	ACZ	9[78][01]\d{2}
GQ			
GR	%N%n%O%n%A%n%Z %C	ACZ	\d{3} ?\d{2}
GS	%N%n%O%n%A%n%n%C%n%Z	ACZ	SIQQ 1ZZ
GT	%N%n%O%n%A%n%Z- %C		\d{5}
GU	%N%n%O%n%A%n%C %Z	ACZ	(969(?:[12]\d|3[12]))(?:[ \-](\d{4}))?
GW	%N%n%O%n%A%n%Z %C		\d{4}
GY			
HK	%S%n%C%n%A%n%O%n%N	AS	
HM	%O%n%N%n%A%n%C %S %Z		\d{4}
HN	%N%n%O%n%A%n%C, %S%n%Z	ACS	\d{5}
HR	%N%n%O%n%A%nHR-%Z %C		\d{5}
HT	%N%n%O%n%A%nHT%Z %C		\d{4}
HU	%N%n%O%n%C%n%A%n%Z	ACZ	\d{4}
ID	%N%n%O%n%A%n%C%n%S %Z	AS	\d{5}
IE	%N%n%O%n%A%n%D%n%C%n%S%n%Z		[\dA-Z]{3} ?[\dA-Z]{4}
IL	%N%n%O%n%A%n%C %Z		\d{5}(?:\d{2})?
IM	%N%n%O%n%A%n%C%n%Z	ACZ	IM\d[\dA-Z]? ?\d[ABD-HJLN-UW-Z]{2}
IN	%N%n%O%n%A%n%T%n%F%n%L%n%C %Z%n%S	ACSZ	\d{6}
IO	%N%n%O%n%A%n%C%n%Z	ACZ	BBND 1ZZ
IQ	%O%n%N%n%A%n%C, %S%n%Z	ACS	\d{5}
IR	%O%n%N%n%S%n%C, %D%n%A%n%Z		\d{5}-?\d{5}
IS	%N%n%O%n%A%n%Z %C		\d{3}
IT	%N%n%O%n%A%n%Z %C %S	ACSZ	\d{5}
JE	%N%n%O%n%A%n%C%nJERSEY%n%Z	ACZ	JE\d[\dA-Z]? ?\d[ABD-HJLN-UW-Z]{2}
JM	%N%n%O%n%A%n%C%n%S %X	ACS	
JO	%N%n%O%n%A%n%C %Z		\d{5}
JP	〒%Z%n%S%n%A%n%O%n%N	ASZ	\d{3}-?\d{4}
KE	%N%n%O%n%A%n%C%n%Z		\d{5}
KG	%N%n%O%n%A%n%Z %C		\d{6}
KH	%N%n%O%n%A%n%C %Z		\d{5,6}
KI	%N%n%O%n%A%n%S%n%C		
KM			
KN	%N%n%O%n%A%n%C, %S	ACS	
KP	%Z%n%S%n%C%n%A%n%O%n%N		
KR	%S %C%D%n%A%n%O%n%N%n%Z	ACSZ	\d{5}
KW	%N%n%O%n%A%n%Z %C		\d{5}
KY	%N%n%O%n%A%n%S %Z	AS	KY\d-\d{4}
KZ	%Z%n%S%n%C%n%A%n%O%n%N		\d{6}
LA	%N%n%O%n%A%n%Z %C		\d{5}
LB	%N%n%O%n%A%n%C %Z		(?:\d{4})(?: ?(?:\d{4}))?
LC			
LI	%O%n%N%n%A%nFL-%Z %C	ACZ	948[5-9]|949[0-8]
LK	%N%n%O%n%A%n%C%n%Z		\d{5}
LR	%N%n%O%n%A%n%Z %C		\d{4}
LS	%N%n%O%n%A%n%C %Z		\d{3}
LT	%O%n%N%n%A%nLT-%Z %C %S	ACZ	\d{5}
LU	%O%n%N%n%A%nL-%Z %C	ACZ	\d{4}
LV	%N%n%O%n%A%n%S%n%C, %Z	ACZ	LV-\d{4}
LY			
MA	%N%n%O%n%A%n%Z %C		\d{5}
MC	%N%n%O%n%A%nMC-%Z %C %X		980\d{2}
MD	%N%n%O%n%A%nMD-%Z %C		\d{4}
ME	%N%n%O%n%A%n%Z %C		8\d{4}
MF	%O%n%N%n%A%n%Z %C %X	ACZ	9[78][01]\d{2}
MG	%N%n%O%n%A%n%Z %C		\d{3}
MH	%N%n%O%n%A%n%C %S %Z	ACSZ	(969[67]\d)(?:[ \-](\d{4}))?
MK	%N%n%O%n%A%n%Z %C		\d{4}
ML			
MM	%N%n%O%n%A%n%C, %Z		\d{5}
MN	%N%n%O%n%A%n%C%n%S %Z		\d{5}
MO	%A%n%O%n%N	A	
MP	%N%n%O%n%A%n%C %S %Z	ACSZ	(9695[012])(?:[ \-](\d{4}))?
MQ	%O%n%N%n%A%n%Z %C %X	ACZ	9[78]2\d{2}
MR			
MS			
MT	%N%n%O%n%A%n%C %Z		[A-Z]{3} ?\d{2,4}
MU	%N%n%O%n%A%n%Z%n%C		\d{3}(?:\d{2}|[A-Z]{2}\d{3})
MV	%N%n%O%n%A%n%C %Z		\d{5}
MW	%N%n%O%n%A%n%C %X		
MX	%N%n%O%n%A%n%D%n%Z %C, %S	ACSZ	\d{5}
MY	%N%n%O%n%A%n%D%n%Z %C%n%S	ACZ	\d{5}
MZ	%N%n%O%n%A%n%Z %C%S		\d{4}
NA	%N%n%O%n%A%n%C%n%Z		\d{5}
NC	%O%n%N%n%A%n%Z %C %X	ACZ	988\d{2}
NE	%N%n%O%n%A%n%Z %C		\d{4}
NF	%O%n%N%n%A%n%C %S %Z		2899
NG	%N%n%O%n%A%n%D%n%C %Z%n%S		\d{6}
NI	%N%n%O%n%A%n%Z%n%C, %S		\d{5}
