# dataset: phone-formats
# source: libphonenumber
# authority: The libphonenumber Authors
# origin: resources/PhoneNumberMetadata.xml numberFormat rows, nationalPrefixFormattingRule substituted
# pin: v9.0.35
# published: 2026-07-26
# licence: Apache-2.0
# licence-url: https://www.apache.org/licenses/LICENSE-2.0
# licence-note: the metadata file carries the Apache-2.0 notice in its own header
# licence-verified: 2026-07-26
# cadence: roughly fortnightly
# compiled-in: true
# columns: territory,callingCode,order,leadingDigits,groups,national,international
001	800	0	\d	4 4	$1 $2	$1 $2
001	808	0	[1-9]	4 4	$1 $2	$1 $2
001	870	0	[235-7]	3 3 3	$1 $2 $3	$1 $2 $3
001	878	0	1	2 5 5	$1 $2 $3	$1 $2 $3
001	881	0	[0-37-9]	1 3 5	$1 $2 $3	$1 $2 $3
001	881	1	6	1 3 5-6	$1 $2 $3	$1 $2 $3
001	882	0	16|342	2 5	$1 $2	$1 $2
001	882	1	49	2 6	$1 $2	$1 $2
001	882	2	1[36]|9	2 2 4	$1 $2 $3	$1 $2 $3
001	882	3	3[23]	2 4 3	$1 $2 $3	$1 $2 $3
001	882	4	16	2 3-4 4	$1 $2 $3	$1 $2 $3
001	882	5	10|23|3(?:[15]|4[57])|4|5[12]	2 4 4	$1 $2 $3	$1 $2 $3
001	882	6	34	3 4 4	$1 $2 $3	$1 $2 $3
001	882	7	[1-35]	2 4-5 5	$1 $2 $3	$1 $2 $3
001	883	0	[14]|2[24-689]|3[02-689]|51[24-9]	3 3 2-8	$1 $2 $3	$1 $2 $3
001	883	1	510	3 3 3	$1 $2 $3	$1 $2 $3
001	883	2	21	3 3 4	$1 $2 $3	$1 $2 $3
001	883	3	51[13]	4 4 4	$1 $2 $3	$1 $2 $3
001	883	4	[235]	3 3 3 3	$1 $2 $3 $4	$1 $2 $3 $4
001	888	0		3 3 5	$1 $2 $3	$1 $2 $3
001	979	0	[1359]	1 4 4	$1 $2 $3	$1 $2 $3
AD	376	0	[135-9]	3 3	$1 $2	$1 $2
AD	376	1	1	4 4	$1 $2	$1 $2
AD	376	2	6	3 3 3	$1 $2 $3	$1 $2 $3
AE	971	0	60|8	3 2-9	$1 $2	$1 $2
AE	971	1	[236]|[479][2-8]	1 3 4	0$1 $2 $3	$1 $2 $3
AE	971	2	[479]	3 1 5	$1 $2 $3	$1 $2 $3
AE	971	3	5	2 3 4	0$1 $2 $3	$1 $2 $3
AF	93	0	[1-9]	3 4	$1 $2	NA
AF	93	1	[2-7]	2 3 4	0$1 $2 $3	$1 $2 $3
AL	355	0	80|9	3 3-4	0$1 $2	$1 $2
AL	355	1	4[2-6]	1 3 4	0$1 $2 $3	$1 $2 $3
AL	355	2	[2358][2-5]|4	2 3 3	0$1 $2 $3	$1 $2 $3
AL	355	3	[23578]	3 5	0$1 $2	$1 $2
AL	355	4	6	2 3 4	0$1 $2 $3	$1 $2 $3
AM	374	0	[89]0	3 2 3	0 $1 $2 $3	$1 $2 $3
AM	374	1	2|3[12]	3 5	(0$1) $2	$1 $2
AM	374	2	1|47	2 6	(0$1) $2	$1 $2
AM	374	3	[3-9]	2 6	0$1 $2	$1 $2
AO	244	0	[29]	3 3 3	$1 $2 $3	$1 $2 $3
AR	54	0	0|1(?:0[0-35-7]|1[02-5]|2[015]|3[47]|4[478])|911	3	$1	NA
AR	54	1	[1-9]	2 4	$1-$2	NA
AR	54	10	8	3 3 5	0$1-$2-$3	$1-$2-$3
AR	54	11	9	1 3 3 4	0$1 15-$3-$4	$1 $2 $3-$4
AR	54	2	[2-9]	3 4	$1-$2	NA
AR	54	3	[1-8]	4 4	$1-$2	NA
AR	54	4	2(?:2[024-9]|3[0-59]|47|6[245]|9[02-8])|3(?:3[28]|4[03-9]|5[2-46-8]|7[1-578]|8[2-9])	4 2 4	0$1 $2-$3	$1 $2-$3
AR	54	5	1	2 4 4	0$1 $2-$3	$1 $2-$3
AR	54	6	[68]	3 3 4	0$1-$2-$3	$1-$2-$3
AR	54	7	[23]	3 3 4	0$1 $2-$3	$1 $2-$3
AR	54	8	9(?:2[2-469]|3[3-578])	1 4 2 4	0$1 15-$3-$4	$1 $2 $3-$4
AR	54	9	91	1 2 4 4	0$1 15-$3-$4	$1 $2 $3-$4
AT	43	0	14	4	$1	NA
AT	43	1	1(?:11|[2-9])	1 3-12	0$1 $2	$1 $2
AT	43	2	517	3 2	0$1 $2	$1 $2
AT	43	3	5[079]	2 3-5	0$1 $2	$1 $2
AT	43	4	[18]	6	$1	NA
AT	43	5	(?:31|4)6|51|6(?:48|5[0-3579]|[6-9])|7(?:20|32|8)|[89]	3 3-10	0$1 $2	$1 $2
AT	43	6	[2-467]|5[2-6]	4 3-9	0$1 $2	$1 $2
AT	43	7	5	2 3 3-4	0$1 $2 $3	$1 $2 $3
AT	43	8	5	2 4 4-7	0$1 $2 $3	$1 $2 $3
