# dataset: phone-mobile
# source: libphonenumber
# authority: The libphonenumber Authors
# origin: resources/PhoneNumberMetadata.xml
# pin: v9.0.35
# published: 2026-07-26
# licence: Apache-2.0
# licence-url: https://www.apache.org/licenses/LICENSE-2.0
# licence-note: the metadata file carries the Apache-2.0 notice in its own header
# licence-verified: 2026-07-26
# cadence: roughly fortnightly
# compiled-in: true
# columns: territory,callingCode,lengths,pattern
BS	1	10	242(?:3(?:5[79]|7[56]|95)|4(?:[23][1-9]|4[1-35-9]|5[1-8]|6[2-8]|7\d|81)|5(?:2[45]|3[35]|44|5[1-46-9]|65|77)|6[34]6|7(?:27|38)|8(?:0[1-9]|1[02-9]|2\d|3[0-4]|[89]9))\d{4}
BT	975	8	(?:1[67]|[78]7)\d{6}
BW	267	8	(?:321|7(?:[1-8]\d|9[03]))\d{5}
BY	375	9	(?:2(?:5[5-79]|9[1-9])|(?:33|44)\d)\d{6}
BZ	501	7	6[0-35-7]\d{5}
CA	1	10	(?:2(?:04|[23]6|[48]9|5[07]|63)|3(?:06|43|54|6[578]|82)|4(?:03|1[68]|[26]8|3[178]|50|74)|5(?:06|1[49]|48|79|8[147])|6(?:04|[18]3|39|47|72)|7(?:0[59]|42|53|78|8[02])|8(?:[06]7|19|25|7[39])|9(?:0[25]|42))[2-9]\d{6}
CC	61	9	4(?:79[01]|83[0-36-9]|95[0-3])\d{5}|4(?:[0-36]\d|4[047-9]|[58][0-24-9]|7[02-8]|9[0-47-9])\d{6}
CD	243	7 9	88\d{5}|(?:8[0-69]|9[016-9])\d{7}
CF	236	8	7[02-7]\d{6}
CG	242	9	026(?:1[0-5]|6[6-9])\d{4}|0(?:[14-6]\d\d|2(?:40|5[5-8]|6[07-9]))\d{5}
CH	41	9	(?:6[89]|7[235-9])\d{7}
CI	225	10	0[157]\d{8}
CK	682	5	[578]\d{4}
CL	56	9	2(?:1982[0-6]|3314[05-9])\d{3}|(?:2(?:1(?:160|962)|3(?:(?:[24]\d|50)\d|3(?:[034679]\d|1[0-35-9]|2[1-9]|5[0-24-9]|8[0-389])|600)|646[59])|80[1-8]\d\d|9(?:(?:10[0-2]|7[1-9]\d)\d|3(?:[0-57-9]\d\d|6(?:0[02-9]|[1-9]\d))|6(?:[0-8]\d\d|9(?:[02-79]\d|1[05-9]))|9(?:[03-9]\d\d|1(?:[0235-9]\d|4[0-24-9])|2(?:[0-79]\d|8[0-46-9]))))\d{4}|(?:22|3[2-5]|[47][1-35]|5[1-3578]|6[13-57]|8[1-9]|9[2458])\d{7}
CM	237	9	(?:24[23]|6(?:[25-9]\d|4[0-2]))\d{6}
CN	86	11	1(?:610\d|740[0-5])\d{6}|1(?:[38]\d|4[57]|[59][0-35-9]|6[25-7]|7[0-35-8])\d{8}
CO	57	10	333301[0-5]\d{3}|3333(?:00|2[5-9]|[3-9]\d)\d{4}|(?:3(?:(?:0[0-5]|1\d|5[01]|70)\d|2(?:[0-3]\d|4[1-9])|3(?:00|3[0-24-9]))|9(?:101|408))\d{6}
CR	506	8	(?:3005\d|6500[01])\d{3}|(?:5[07]|6[0-4]|7[0-3]|8[3-9])\d{6}
CU	53	8	(?:5\d|6[2-4])\d{6}
CV	238	7	(?:36|5[1-389]|9\d)\d{5}
CW	599	7 8	953[01]\d{4}|9(?:5[12467]|6[5-9])\d{5}
CX	61	9	4(?:79[01]|83[0-36-9]|95[0-3])\d{5}|4(?:[0-36]\d|4[047-9]|[58][0-24-9]|7[02-8]|9[0-47-9])\d{6}
CY	357	8	9(?:10|[4-79]\d)\d{5}
CZ	420	9	7060\d{5}|(?:60[1-8]|7(?:0[2-5]|19|[2379]\d))\d{6}
DE	49	10 11	1(?:6[023]|7\d)\d{7,8}|15(?:[0-25-9]\d\d|3(?:10|33))\d{6}
DJ	253	8	77\d{6}
DK	45	8	(?:2[6-8]|37|6[78]|96)\d{6}|(?:2[0-59]|3[0-689]|[457]\d|6[0-69]|8[126-9]|9[1-47-9])[1-9]\d{5}
DM	1	10	767(?:2(?:[2-4689]5|7[5-7])|31[5-7]|61[1-8]|70[1-6])\d{4}
DO	1	10	8[024]9[2-9]\d{6}
DZ	213	9	5(?:4[0-29]|6[0-4])\d{6}|(?:55|6\d|7[7-9])\d{7}
EC	593	9	964[0-2]\d{5}|9(?:39|[57][89]|6[0-36-9]|[89]\d)\d{6}
EE	372	7 8	(?:5\d{5}|8(?:1(?:0(?:0(?:00|[178]\d)|[3-9]\d\d)|(?:1(?:0[2-6]|1\d)|[2-79]\d\d)\d)|2(?:0(?:0(?:00|4\d)|(?:19|[2-7]\d)\d)|(?:(?:[124-69]\d|3[5-9])\d|7(?:[0-79]\d|8[013-9])|8(?:[2-6]\d|7[01]))\d)|[349]\d{4}))\d\d|5(?:(?:[02]\d|5[0-478])\d|1(?:[0-8]\d|95)|6(?:4[0-4]|5[1-589]))\d{3}
EG	20	10	1[0-25]\d{8}
EH	212	9	(?:6(?:[0-79]\d|8[0-247-9])|7(?:[016-8]\d|2[0-8]|5[0-5]))\d{6}
ER	291	7	(?:17[1-3]|7\d\d)\d{4}
ES	34	9	96906(?:09|10)\d\d|(?:590(?:10[0-2]|600)|97390\d)\d{3}|(?:6\d|7[1-48])\d{7}
ET	251	9	700[1-9]\d{5}|(?:7(?:0[1-9]|1[0-8]|2[1-35-79]|3\d|77|86|99)|(?:8[01]|9\d)\d)\d{6}
FI	358	[6-10]	4946\d{2,6}|(?:4[0-8]|50)\d{4,8}
FJ	679	7	(?:[279]\d|45|5[01568]|8[034679])\d{5}
FK	500	5	[56]\d{4}
FM	691	7	31(?:00[67]|208|309)\d\d|(?:3(?:[2357]0[1-9]|602|804|905)|(?:820|9[2-7]\d)\d)\d{3}
FO	298	6	(?:[27][1-9]|5\d|9[136])\d{4}
FR	33	9	(?:6(?:[0-24-8]\d|3[0-8]|9[589])|7[3-9]\d)\d{6}
GA	241	7 8	(?:(?:0[2-7]|7[467])\d|6(?:0[0-4]|10|[256]\d))\d{5}|[2-7]\d{6}
GB	44	10	7(?:457[0-57-9]|700[01]|911[028])\d{5}|7(?:[1-3]\d\d|4(?:[0-46-9]\d|5[0-689])|5(?:0[0-8]|[13-9]\d|2[0-35-9])|7(?:0[1-9]|[1-7]\d|8[02-9]|9[0-689])|8(?:[014-9]\d|[23][0-8])|9(?:[024-9]\d|1[02-9]|3[0-689]))\d{6}
GD	1	10	473(?:4(?:0[2-79]|1[04-9]|2[0-5]|49|5[6-8])|5(?:2[01]|3[3-8])|901)\d{4}
GE	995	9	5(?:(?:(?:0555|1(?:[17]77|555))[5-9]|757(?:7[7-9]|8[01]))\d|22252[0-4])\d\d|5(?:0(?:0(?:1[09]|70)|505)|1(?:0[01]0|1(?:07|33|51))|2(?:0[02]0|2[25]2)|3(?:0[03]0|3[35]3)|(?:40[04]|900)0|5222)[0-4]\d{3}|(?:5(?:0(?:0(?:0\d|1[12]|22|3[0-6]|44|5[05]|77|88|9[09])|(?:[14]\d|77)\d|22[02])|1(?:1(?:[03][01]|[124]\d|5[2-6]|7[0-6])|4\d\d)|2(?:228|555)|3555|4(?:4\d\d|555)|5(?:[0157-9]\d\d|200|333|4(?:44|55))|6[89]\d\d|7(?:(?:[0147-9]\d|22)\d|5(?:00|[57]5))|8(?:0(?:[018]\d|2[0-4])|5(?:55|8[89])|8(?:55|88))|9(?:090|[1-35-9]\d\d))|790\d\d)\d{4}
GF	594	9	(?:694(?:[0-249]\d|3[0-8])|7093[0-3])\d{4}
GG	44	10	7(?:(?:781|839)\d|911[17])\d{5}
GH	233	9	(?:2(?:[0346-9]\d|5[67])|5(?:[03-7]\d|9[1-9]))\d{6}
GI	350	8	5251[0-4]\d{3}|(?:5(?:[146-8]\d\d|250)|60(?:1[01]|6\d))\d{4}
GL	299	6	[245]\d{5}
GM	220	7	556\d{4}|(?:[23679]\d|4[015]|5[0-489]|8[4-7])\d{5}
GN	224	9	6[0-356]\d{7}
GP	590	9	(?:69(?:0\d\d|1(?:2[2-9]|3[0-5]))|7090[0-4])\d{4}
GQ	240	9	(?:222|55\d)\d{6}
GR	30	10	68[57-9]\d{7}|(?:69|94)\d{8}
GT	502	8	(?:[3-5]\d\d|80[0-4])\d{5}
GU	1	10	671(?:2\d\d|3(?:00|3[39]|4[349]|55|6[26])|4(?:00|56|7[1-9]|8[02-9])|5(?:55|6[2-5]|88)|6(?:3[2-578]|4[24-9]|5[34]|78|8[235-9])|7(?:[0479]7|2[0167]|3[45]|8[7-9])|8(?:[2-57-9]8|6[478])|9(?:2[29]|6[79]|7[1279]|8[7-9]|9[16-9]))\d{4}
GW	245	9	9(?:5\d|6[569]|77)\d{6}
GY	592	7	(?:51[01]|6\d\d|7(?:[0-5]\d|6[0-79]|[78]0))\d{4}
HK	852	8	(?:4(?:(?:09|24)[3-6]|44[0-35-9]|6(?:4[0-57-9]|6[0-6])|7(?:4[0-48]|6[0-5]))|5(?:25[3-7]|35[4-8]|73[0-6]|95[0-8])|6(?:26[013-8]|(?:66|78)[0-5])|70(?:7[1-8]|8[0-8])|84(?:4[0-2]|8[0-35-9])|9(?:29[013-9]|39[014-9]|59[0-467]|899))\d{4}|(?:4(?:4[0-35-9]|6[0-357-9]|7[0-35])|5(?:[1-59][0-46-9]|6[0-4689]|7[0-246-9])|6(?:0[1-9]|[13-59]\d|[268][0-57-9]|7[0-79])|70[1-59]|84[0-39]|9(?:0[1-9]|1[02-9]|[2358][0-8]|[467]\d))\d{5}
HN	504	8	[37-9]\d{7}
HR	385	8 9	9(?:(?:0[1-9]|[12589]\d)\d\d|7(?:[0679]\d\d|5(?:[01]\d|44|55|77|9[5-79])))\d{4}|98\d{6}
HT	509	8	(?:[34]\d|5[568])\d{6}
HU	36	9	(?:[257]0|3[01])\d{7}
ID	62	[9-12]	8[1-35-9]\d{7,10}
IE	353	9	8(?:22|[35-9]\d)\d{6}
IL	972	9	55(?:4(?:0[0-3]|[16]0)|57[0-289])\d{4}|5(?:(?:[0-2][02-9]|[36]\d|[49][2-9]|8[3-7])\d|5(?:01|2\d|3[0-3]|4[3-5]|5[0-25689]|6[6-8]|7[0-267]|8[7-9]|9[1-9]))\d{5}
IM	44	10	76245[06]\d{4}|7(?:4576|[59]24\d|624[0-4689])\d{5}
