# dataset: culture-numbering
# source: cldr
# authority: Unicode Consortium
# origin: common/main/*.xml numbers symbols, per numbering system
# pin: release-48-2
# published: 2026-03-17
# licence: Unicode-3.0
# licence-url: https://www.unicode.org/license.txt
# licence-note: Unicode License v3 grants distribution of the Data Files
# licence-verified: 2026-07-26
# cadence: two major releases per year, plus point releases
# compiled-in: true
# columns: locale,system,decimal,group,minimum,minusSign,plusSign,percentSign,perMille
kkj	latn	,	.					
kl	latn	,	.		−			
km	khmr	,	.					
ko	arab				‏-	‏+		
ks	latn		،					
ksf	latn	,	 					
ksh	latn	,	 		−			
ku	latn	,	.					
ky	latn	,	 					
la	latn	,	 					
lb	latn	,	.					
lij	latn	,	.					
lld	latn	,	.					
lmo	latn	,	'					
ln	latn	,	.					
lo	latn	,	.					
lt	latn	,	 		−			
ltg	latn	,	 					
lu	latn	,	.					
lv	latn	,	 	2				
mfe	latn		 					
mgh	latn	,	.					
mk	latn	,	.					
mn	mong	,	 					
ms	arabext	.						
ms-Arab-BN	latn	,	.					
ms-BN	latn	,	.					
ms-ID	latn	,	.					
mua	latn	,	.					
nds	latn	,	.					
nl	latn	,	.					
nmg	latn	,	 					
nnh	latn	,	.					
no	arab		 		؜−			
no	arabext	,	 		‎−‎			
no	latn	,	 		−			
nqo	latn		،					
nqo	nkoo		،					
nr	latn	,	 					
oc	latn	,	 					
oc-ES	adlm	.	,	2				
oc-ES	bali	.	,	2				
oc-ES	beng	.	,	2				
oc-ES	brah	.	,	2				
oc-ES	cakm	.	,	2				
oc-ES	cham	.	,	2				
oc-ES	deva	.	,	2				
oc-ES	fullwide	.	,	2				
oc-ES	gong	.	,	2				
oc-ES	gonm	.	,	2				
oc-ES	gujr	.	,	2				
oc-ES	guru	.	,	2				
oc-ES	hanidec	.	,	2				
oc-ES	hmnp	.	,	2				
oc-ES	java	.	,	2				
oc-ES	kali	.	,	2				
oc-ES	khmr	.	,	2				
oc-ES	knda	.	,	2				
oc-ES	lana	.	,	2				
oc-ES	lanatham	.	,	2				
oc-ES	laoo	.	,	2				
oc-ES	latn	.	,	2				
oc-ES	lepc	.	,	2				
oc-ES	limb	.	,	2				
oc-ES	mlym	.	,	2				
oc-ES	mong	.	,	2				
oc-ES	mtei	.	,	2				
oc-ES	mymr	.	,	2				
oc-ES	mymrshan	.	,	2				
oc-ES	nkoo	.	,	2				
oc-ES	olck	.	,	2				
oc-ES	orya	.	,	2				
oc-ES	osma	.	,	2				
oc-ES	rohg	.	,	2				
oc-ES	saur	.	,	2				
oc-ES	shrd	.	,	2				
oc-ES	sora	.	,	2				
oc-ES	sund	.	,	2				
oc-ES	takr	.	,	2				
oc-ES	talu	.	,	2				
oc-ES	tamldec	.	,	2				
oc-ES	telu	.	,	2				
oc-ES	thai	.	,	2				
oc-ES	tibt	.	,	2				
oc-ES	vaii	.	,	2				
os	latn	,	 					
pa	arab	.	,		-	+	%	‰
pa	arabext		,		-	+		
pa-Arab	latn				‎-	‎+		
pl	latn	,	 	2				
pms	latn	,	.					
prg	latn	,	 					
ps	latn	,	.		‎−	‎+		
pt	latn	,	.					
pt-PT	latn		 	2				
qu-BO	latn	,	.					
rif	latn	,	 					
rm	latn	,	 					
rn	latn	,	.					
ro	latn	,	.					
